,Location_id,POI_id,POI_Type,Org_id,User_id,TimeStamp,Zone,Latitude,Longitude,Category,yelp_id,name,stars
0,942,942,Independent,4b3fcbf7f964a520feae25e3,176397,Tue Apr 03 18:18:36 +0000 2012,-360,51.115835,-114.069843,Grocery Store,jmDK3C5_gyQ0-5VZik643A,Real Canadian Superstore,3.5
1,942,942,Independent,4b3fcbf7f964a520feae25e3,176397,Wed Apr 04 18:29:08 +0000 2012,-360,51.115835,-114.069843,Grocery Store,jmDK3C5_gyQ0-5VZik643A,Real Canadian Superstore,3.5
2,560,560,Independent,4b8c2b39f964a520f0c132e3,15239,Tue Apr 03 19:30:51 +0000 2012,-360,51.041939,-114.089416,Coffee Shop,eHJsmmxumitEJkuaO0yBSQ,Tim Hortons,3.0
3,560,560,Independent,4b8c2b39f964a520f0c132e3,15239,Wed Apr 04 19:27:07 +0000 2012,-360,51.041939,-114.089416,Coffee Shop,eHJsmmxumitEJkuaO0yBSQ,Tim Hortons,3.0
4,560,560,Independent,4b8c2b39f964a520f0c132e3,15239,Mon Apr 09 12:52:17 +0000 2012,-360,51.041939,-114.089416,Coffee Shop,eHJsmmxumitEJkuaO0yBSQ,Tim Hortons,3.0
5,1041,2210,Combined,4b67279df964a520373e2be3,15239,Tue Apr 03 19:50:40 +0000 2012,-360,51.084709,-114.124732,Drugstore / Pharmacy,WBkUnLApQeWdkb1-LPgjAQ,London Drugs,3.5
6,1041,2210,Combined,4b67279df964a520373e2be3,15239,Mon Apr 09 13:38:24 +0000 2012,-360,51.084709,-114.124732,Drugstore / Pharmacy,WBkUnLApQeWdkb1-LPgjAQ,London Drugs,3.5
7,151,151,Independent,4bb6a15946d4a593a095c6c0,201143,Tue Apr 03 19:58:37 +0000 2012,-360,50.9299,-113.96616000000002,Department Store,2O3tH8b3mJY5KO2KnJuokA,Walmart Supercentre,4.0
8,238,2301,Combined,4b6c7c4af964a520ee3d2ce3,148455,Tue Apr 03 20:17:51 +0000 2012,-360,50.980506,-114.041948,Furniture / Home Store,UScXRDCz535-5MOkpoJyqw,IKEA,3.0
9,238,2301,Combined,4b6c7c4af964a520ee3d2ce3,21272,Sat Apr 07 21:14:52 +0000 2012,-360,50.980506,-114.041948,Furniture / Home Store,UScXRDCz535-5MOkpoJyqw,IKEA,3.0
10,238,2301,Combined,4b6c7c4af964a520ee3d2ce3,15239,Sun Apr 08 19:56:42 +0000 2012,-360,50.980506,-114.041948,Furniture / Home Store,UScXRDCz535-5MOkpoJyqw,IKEA,3.0
11,238,2301,Combined,4b6c7c4af964a520ee3d2ce3,47946,Sun Apr 08 22:26:40 +0000 2012,-360,50.980506,-114.041948,Furniture / Home Store,UScXRDCz535-5MOkpoJyqw,IKEA,3.0
12,1136,1136,Independent,4b5f15f5f964a52050a529e3,53896,Tue Apr 03 20:23:17 +0000 2012,-360,51.048143,-114.065361,Coffee Shop,qDpngVfw7Y8XFhCZjqTZYw,Analog Coffee,4.5
13,1145,1145,Independent,4b54e95ef964a520cdd227e3,53896,Tue Apr 03 20:45:17 +0000 2012,-360,51.046318,-114.061775,Light Rail,PjlodjmfABi5dW-iek2P-w,Calgary Transit,2.5
14,1207,1207,Independent,4b21a170f964a520373f24e3,53896,Tue Apr 03 20:46:24 +0000 2012,-360,51.046256,-114.056676,Light Rail,gvx8rtsk9VMjCv8sTCm04A,City Hall LRT Station,3.5
15,1207,1207,Independent,4b21a170f964a520373f24e3,21272,Tue Apr 10 22:36:17 +0000 2012,-360,51.046256,-114.056676,Light Rail,gvx8rtsk9VMjCv8sTCm04A,City Hall LRT Station,3.5
16,884,884,Independent,4b75f725f964a520ba322ee3,47946,Tue Apr 03 21:20:16 +0000 2012,-360,51.079304,-113.9906,Grocery Store,pih0Ql0yOcVbLUI9eovGIA,Costco Wholesale,4.0
17,884,884,Independent,4b75f725f964a520ba322ee3,88398,Mon Apr 09 21:11:28 +0000 2012,-360,51.079304,-113.9906,Grocery Store,pih0Ql0yOcVbLUI9eovGIA,Costco Wholesale,4.0
18,167,2220,Combined,4ba66d9af964a520715139e3,201143,Tue Apr 03 21:29:40 +0000 2012,-360,50.933767,-113.960538,Hardware Store,1WY-6l7DUFGu71EB6Jjxyg,The Home Depot,2.0
19,167,2220,Combined,4ba66d9af964a520715139e3,238329,Tue Apr 10 13:51:22 +0000 2012,-360,50.933767,-113.960538,Hardware Store,1WY-6l7DUFGu71EB6Jjxyg,The Home Depot,2.0
20,770,770,Independent,4dcda14f22718eed7a23b018,174234,Tue Apr 03 22:30:15 +0000 2012,-360,51.058375,-114.069346,Skating Rink,LyMpee3zP1J8A5t0AM-IJQ,Calgary Curling Club,4.0
21,770,770,Independent,4dcda14f22718eed7a23b018,174234,Fri Apr 06 13:28:30 +0000 2012,-360,51.058375,-114.069346,Skating Rink,LyMpee3zP1J8A5t0AM-IJQ,Calgary Curling Club,4.0
22,770,770,Independent,4dcda14f22718eed7a23b018,174234,Sat Apr 07 16:28:59 +0000 2012,-360,51.058375,-114.069346,Skating Rink,LyMpee3zP1J8A5t0AM-IJQ,Calgary Curling Club,4.0
23,180,180,Independent,4b0586e6f964a520cd7322e3,49529,Tue Apr 03 22:41:21 +0000 2012,-360,50.949148,-113.982706,Casino,aBaXV2pCWpf4PcUbGcrs3g,Deerfoot Inn & Casino,2.5
