,Location_id,POI_id,POI_Type,Org_id,User_id,TimeStamp,Latitude,Longitude,Category_2,yelp_ID,name,Time,date
0,0,0,Independent,4e91b6459a52db7dbabab2ea,9,Sun Sep 09 23:20:38 +0000 2012,35.227758,-80.853371,Stadium,Z5BHNFjt7ZmAse2kKlw2uA,Bank of America Stadium,23:20:38,2012909
181,2,2,Independent,4bddc45c6198c9b6859711ff,9,Sun Sep 09 23:20:56 +0000 2012,35.228426,-80.854568,Pub,sXj4ZFR9SmftEDXOzmZscw,Hartigan's Irish Pub,23:20:56,2012909
407,5,5,Independent,4b5a16e9f964a5207cac28e3,60,Fri Jun 08 15:58:58 +0000 2012,35.224868,-80.955935,Scenic Lookout,WiWCtinRtykBC6DCg6w3Fg,Charlotte Douglas Airport Overlook,15:58:58,2012608
199,4,4,Independent,4b155049f964a52045b023e3,60,Fri Jun 08 15:59:30 +0000 2012,35.224912,-80.83965500000002,Basketball Stadium,sYJaNxG8KLus6U7TJ2JHWA,Charlotte Hornets,15:59:30,2012608
9,1,1,Independent,4c9f60f246978cfa453eaa7f,63,Thu Apr 04 23:07:45 +0000 2013,35.225884,-80.85289499999998,Football Stadium,Z5BHNFjt7ZmAse2kKlw2uA,Bank of America Stadium,23:07:45,2013404
486,13,13,Independent,4eb596bb7ee5024d7f16f978,63,Thu Apr 04 23:59:28 +0000 2013,35.241024,-80.81450500000003,Brewery,#NAME?,Birdsong Brewing,23:59:28,2013404
484,12,3127,Combined,4b21405cf964a520033924e3,63,Wed Jun 05 07:25:46 +0000 2013,35.23223,-80.848625,Greek Restaurant,IIUK1lz_1upqYtHu8ZuClA,Little Village Grill,07:25:46,2013605
477,10,10,Independent,51522888e4b0f44ebc88175f,63,Wed Jun 05 12:02:49 +0000 2013,35.23317,-80.851456,College Quad,Lw8nfDTuRtEW9c0PEgJ-gQ,Johnson & Wales University,12:02:49,2013605
469,9,3127,Combined,4b25d6d6f964a520c57624e3,63,Wed Jun 05 15:39:58 +0000 2013,35.232198,-80.84889,Pub,PZngIVXHzqnqOS1E7HWGYg,The Pub at Gateway,15:39:58,2013605
444,8,3126,Combined,4be21308b02ec9b63d2a4cc0,63,Thu Jun 06 15:11:56 +0000 2013,35.239275,-80.84515400000002,Cocktail Bar,wUHPgIh-rJThxPvxHPlsjQ,Wet Willie's,15:11:56,2013606
