,Unnamed: 0,Location_id,POI_id,POI_Type,Org_id,User_id,TimeStamp,Zone,Latitude,Longitude,Category,yelp_id,name,stars,Time,Date,Local_sg_time,L2_id
3203,3203,405,405,Independent,4b15508cf964a520c3b023e3,445,Fri Feb 01 04:28:19 +0000 2013,-420,51.037535,-114.051733,Stadium,fAczVm0LU-mmIPRz1VIIYA,Scotiabank Saddledome,3.5,04:28:19,2013201,01/02/2013 04:28,55
3524,3524,405,405,Independent,4b15508cf964a520c3b023e3,445,Thu Mar 07 07:25:42 +0000 2013,-420,51.037535,-114.051733,Stadium,fAczVm0LU-mmIPRz1VIIYA,Scotiabank Saddledome,3.5,07:25:42,2013307,07/03/2013 07:25,55
4030,4030,405,405,Independent,4b15508cf964a520c3b023e3,445,Wed Apr 10 23:40:20 +0000 2013,-360,51.037535,-114.051733,Stadium,fAczVm0LU-mmIPRz1VIIYA,Scotiabank Saddledome,3.5,23:40:20,2013410,10/04/2013 23:40,55
3603,3603,917,917,Independent,4b0586e6f964a520c77322e3,521,Sun Apr 22 01:42:06 +0000 2012,-360,51.082188,-114.00032,Hotel,uaQOlGH85FWz_td3fAdC6w,Sheraton Cavalier Calgary Hotel,4,01:42:06,2012422,22/04/2012 01:42,15
3606,3606,915,915,Independent,4b0586eaf964a520217522e3,521,Sun Apr 22 01:43:00 +0000 2012,-360,51.08204,-114.00002,Steakhouse,hDzL5ywj0q3CDjXXSvhYAg,Carver's Steakhouse,4,01:43:00,2012422,22/04/2012 01:43,39
3608,3608,916,916,Independent,4ce3568f2407a1cdc5ae4dd0,521,Sun Apr 22 01:43:21 +0000 2012,-360,51.082187,-114.000384,Pub,hn_3yKI4wtL2zOwhEjX7nQ,Henry's Pub,5,01:43:21,2012422,22/04/2012 01:43,16
3607,3607,915,915,Independent,4b0586eaf964a520217522e3,521,Sun Apr 22 16:21:38 +0000 2012,-360,51.08204,-114.00002,Steakhouse,hDzL5ywj0q3CDjXXSvhYAg,Carver's Steakhouse,4,16:21:38,2012422,22/04/2012 16:21,39
3630,3630,892,892,Independent,4b5c9711f964a520713829e3,521,Sun Apr 22 16:22:44 +0000 2012,-360,51.080482,-114.002946,Diner,hcNgeIo2TWyfzgkR0yG-BQ,Perkins Restaurant & Bakery,3,16:22:44,2012422,22/04/2012 16:22,59
3637,3637,1181,1181,Independent,4b0586e6f964a5209f7322e3,521,Sun Apr 22 18:28:50 +0000 2012,-360,51.04996,-114.06965,Hotel,fbbO2vNsYPhi11Se7T95lQ,The Westin Calgary,3.5,18:28:50,2012422,22/04/2012 18:28,15
3638,3638,1177,1177,Independent,4b0586e9f964a520b47422e3,521,Sun Apr 22 18:31:00 +0000 2012,-360,51.047791,-114.072502,Bar,AGul9F9ln7hm2NCYyqzppA,Local 522,3.5,18:31:00,2012422,22/04/2012 18:31,22
3628,3628,1174,1174,Independent,4b6c4525f964a520dc2c2ce3,521,Sun Apr 22 18:59:03 +0000 2012,-360,51.048468,-114.071598,Coffee Shop,4X-IzouANwT37SS0McEhPA,Tim Hortons,2.5,18:59:03,2012422,22/04/2012 18:59,1
3641,3641,512,512,Independent,4b5b72b5f964a520d3fe28e3,521,Sun Apr 22 19:10:20 +0000 2012,-360,51.03802,-114.075437,Board Shop,hYUR8pzbBd61T99VuyJzNQ,Bread and Circus,4,19:10:20,2012422,22/04/2012 19:10,159
3643,3643,474,474,Independent,4b0586ecf964a520d67522e3,521,Sun Apr 22 19:55:01 +0000 2012,-360,51.037408,-114.060752,Casino,dkYxm9XJ0jKQ1LcuI829tg,Elbow River Casino,3.5,19:55:01,2012422,22/04/2012 19:55,8
3644,3644,509,509,Independent,4b0586e8f964a520787422e3,521,Sun Apr 22 19:56:41 +0000 2012,-360,51.037878,-114.073691,Bar,6qmCO3di-FKWLdRn2LuF6g,Ship & Anchor Pub,4,19:56:41,2012422,22/04/2012 19:56,22
3646,3646,790,790,Independent,4c1c351db4e62d7f8ecada93,521,Sun Apr 22 20:16:11 +0000 2012,-360,51.069172,-114.062233,Ice Cream Shop,TA7o4xcWw5tc3FJxkOH2dQ,DQ Grill & Chill Restaurant,2,20:16:11,2012422,22/04/2012 20:16,72
3604,3604,917,917,Independent,4b0586e6f964a520c77322e3,521,Mon Apr 23 14:24:18 +0000 2012,-360,51.082188,-114.00032,Hotel,uaQOlGH85FWz_td3fAdC6w,Sheraton Cavalier Calgary Hotel,4,14:24:18,2012423,23/04/2012 14:24,15
3676,3676,1183,1183,Independent,4e27ad2a18a83a13622ab089,521,Mon Apr 23 19:39:20 +0000 2012,-360,51.049588,-114.069287,Cocktail Bar,njhAtkIZF41u4tC0RiVjOA,Ceili's on 4th Modern Irish Pub - Now Open,2.5,19:39:20,2012423,23/04/2012 19:39,170
3639,3639,1177,1177,Independent,4b0586e9f964a520b47422e3,521,Mon Apr 23 19:43:49 +0000 2012,-360,51.047791,-114.072502,Bar,AGul9F9ln7hm2NCYyqzppA,Local 522,3.5,19:43:49,2012423,23/04/2012 19:43,22
3640,3640,1177,1177,Independent,4b0586e9f964a520b47422e3,521,Tue Apr 24 01:39:17 +0000 2012,-360,51.047791,-114.072502,Bar,AGul9F9ln7hm2NCYyqzppA,Local 522,3.5,01:39:17,2012424,24/04/2012 01:39,22
3690,3690,1160,2103,Combined,4b0586eaf964a520147522e3,521,Tue Apr 24 01:47:56 +0000 2012,-360,51.051997,-114.069843,American Restaurant,XbyGwD2UtQNov8MnJOv7pQ,Flower & Wolf,4.5,01:47:56,2012424,24/04/2012 01:47,34
3694,3694,769,769,Independent,4b4827f8f964a520364926e3,521,Tue Apr 24 02:37:08 +0000 2012,-360,51.054853,-114.07163,Gastropub,BJ3AyMhTaORAu_e_J2KNEQ,River CafÂ¨?,4,02:37:08,2012424,24/04/2012 02:37,68
3605,3605,917,917,Independent,4b0586e6f964a520c77322e3,521,Tue Apr 24 13:08:15 +0000 2012,-360,51.082188,-114.00032,Hotel,uaQOlGH85FWz_td3fAdC6w,Sheraton Cavalier Calgary Hotel,4,13:08:15,2012424,24/04/2012 13:08,15
3709,3709,600,600,Independent,4c85059fd34ca14392384380,521,Tue Apr 24 22:29:38 +0000 2012,-360,51.129839,-114.011995,Caf,QN-PNSF0epE94CDQq9WECA,Starbucks,3.5,22:29:38,2012424,24/04/2012 22:29,50
3168,3168,1213,1213,Independent,4b0586e6f964a520a17322e3,521,Tue Jan 29 14:47:02 +0000 2013,-420,51.045042,-114.06241,Hotel,tTpeNajXkB9gvOim5lWDXA,Calgary Marriott Downtown Hotel,3.5,14:47:02,2013129,29/01/2013 14:47,15
3180,3180,1123,1123,Independent,4b71b7aaf964a5203e582de3,521,Tue Jan 29 23:06:05 +0000 2013,-420,51.048563,-114.074738,Japanese Restaurant,n8apkesub_mi7v8_dytc5Q,Gyu-Kaku Japanese BBQ,4.5,23:06:05,2013129,29/01/2013 23:06,41
3181,3181,1177,1177,Independent,4b0586e9f964a520b47422e3,521,Tue Jan 29 23:34:57 +0000 2013,-420,51.047791,-114.072502,Bar,AGul9F9ln7hm2NCYyqzppA,Local 522,3.5,23:34:57,2013129,29/01/2013 23:34,22
3169,3169,1213,1213,Independent,4b0586e6f964a520a17322e3,521,Tue Jan 29 23:37:43 +0000 2013,-420,51.045042,-114.06241,Hotel,tTpeNajXkB9gvOim5lWDXA,Calgary Marriott Downtown Hotel,3.5,23:37:43,2013129,29/01/2013 23:37,15
3182,3182,1177,1177,Independent,4b0586e9f964a520b47422e3,521,Thu Jan 31 00:54:36 +0000 2013,-420,51.047791,-114.072502,Bar,AGul9F9ln7hm2NCYyqzppA,Local 522,3.5,00:54:36,2013131,31/01/2013 00:54,22
4841,4841,543,543,Independent,51663012e4b0f303f2ae7d48,521,Mon Jul 08 12:24:04 +0000 2013,-360,51.03845,-114.088021,Hotel,HXVCaoCzcOGuSSc7Xn_phg,Hotel Elan,5,12:24:04,2013708,08/07/2013 12:24,15
