,epoch,loss,recall 10
0,1,101.4835495,0.091603053
1,2,84.33476865,0.091603053
2,3,70.09931524,0.099236641
3,4,58.04615834,0.106870229
4,5,47.8210182,0.083969466
5,6,39.11873886,0.045801527
6,7,31.69443181,0.053435115
7,8,25.36698967,0.083969466
8,9,19.99400904,0.045801527
9,10,15.50877598,0.076335878
10,11,11.81008946,0.076335878
11,12,8.813439348,0.061068702
12,13,6.396936572,0.083969466
13,14,4.560982513,0.06870229
14,15,3.220447587,0.106870229
15,16,2.276142552,0.091603053
16,17,1.625247271,0.122137405
17,18,1.218037732,0.083969466
18,19,0.989776524,0.183206107
19,20,0.846188159,0.183206107
20,21,0.783441349,0.160305344
21,22,0.763376582,0.175572519
22,23,0.719691987,0.175572519
23,24,0.701914332,0.20610687
24,25,0.709015746,0.23653516
