,epoch,loss,recall 10
0,1,103.1936335,0.057692308
1,2,87.86138135,0.086538462
2,3,74.97963182,0.096153846
3,4,63.99613459,0.096153846
4,5,54.49192988,0.076923077
5,6,46.26015628,0.038461538
6,7,38.98230136,0.086538462
7,8,32.57212993,0.086538462
8,9,26.87771872,0.076923077
9,10,21.98319276,0.086538462
10,11,17.73555618,0.048076923
11,12,14.14773407,0.076923077
12,13,11.13457953,0.038461538
13,14,8.554999565,0.067307692
14,15,6.540471679,0.125
15,16,4.908238572,0.076923077
16,17,3.619901448,0.115384615
17,18,2.673217853,0.182692308
18,19,1.992848019,0.153846154
19,20,1.470309003,0.163461538
20,21,1.170265516,0.134615385
21,22,0.962239919,0.153846154
22,23,0.854468686,0.134615385
23,24,0.784200394,0.231615385
24,25,0.777531483,0.211538462
25,26,0.723731791,0.221153846
26,27,0.686897469,0.231615385
27,28,0.710388656,0.201923077
