,epoch,loss,recall 10
0,0,101.7869126,0
1,1,84.65483194,0.007633588
2,2,70.43620024,0
3,3,58.37466239,0.022900763
4,4,48.13674175,0.022900763
5,5,39.4269287,0.030534351
6,6,31.95642568,0.022900763
7,7,25.58129045,0.015267176
8,8,20.18495269,0.015267176
9,9,15.63567029,0.022900763
10,10,11.87667095,0.022900763
11,11,8.85999597,0.022900763
12,12,6.461032454,0.022900763
13,13,4.639471948,0.022900763
14,14,3.286854266,0.030534351
15,15,2.332497559,0.030534351
16,16,1.708942108,0.022900763
17,17,1.287268601,0.030534351
18,18,1.052845238,0.030534351
19,19,0.897191917,0.038167939
20,20,0.821640096,0.038167939
21,21,0.805783379,0.038167939
22,22,0.775405888,0.038167939
23,23,0.749079031,0.053435115
24,24,0.778351398,0.045801527
