,epoch,loss,recall 10
0,1,103.5705767,0
1,2,88.24534129,0.009615385
2,3,75.24346663,0
3,4,64.15316526,0
4,5,54.59270287,0.009615385
5,6,46.23223432,0.009615385
6,7,38.92350516,0.019230769
7,8,32.52179128,0.009615385
8,9,26.90154205,0.019230769
9,10,22.04658878,0.019230769
10,11,17.7942787,0.019230769
11,12,14.20076811,0.019230769
12,13,11.16110925,0.028846154
13,14,8.647945182,0.028846154
14,15,6.628543561,0.028846154
15,16,5.03342135,0.038461538
16,17,3.787175733,0.028846154
17,18,2.811018288,0.028846154
18,19,2.124710654,0.028846154
19,20,1.654962922,0.028846154
20,21,1.298606259,0.028846154
21,22,1.058858067,0.028846154
22,23,0.938777126,0.028846154
23,24,0.871381309,0.038461538
24,25,0.826454282,0.038461538
25,26,0.817742507,0.038461538
26,27,0.749384646,0.076898462
27,28,0.796318306,0.038461538
